event	event_label	time	line_id	landmark_label	landmark_type	relatum_label	relatum_type	relation_type	change_type	change_on	attribute_type	outdates	makes_effective
13	boulevard de courcelles || Ouverture || Ordonnance du Bureau des finances du 16 janvier 1789	1789-01-16	10063_ouverture	Boulevard de Courcelles	boulevard				transition	attribute	geometry
410	rue philippe de girard || Historique || Précédemment rue de la Chapelle dans la partie A et rue de Chabrol dans la partie B		12815_historique_1	Rue Philippe de Girard	rue				transition	attribute	geometry
412	rue philippe de girard || Historique || elle a porté le nom de chemin des Potences		12815_historique_3	Rue Philippe de Girard	rue				transition	attribute	name	chemin des Potences
413	rue philippe de girard || Numérotation || Arrêté du 4 septembre 1879, partie A	1879-09-04	12815_numérotation	Rue Philippe de Girard	rue				numerotation	landmark
414	rue pierre chausson || Classement || Arrêté du 9 juin 1931	1931-06-09	12835_classement	Rue Pierre Chausson	rue				classement	landmark
415	rue pierre chausson || Historique || Cette voie a été dénommée rue Pierre Chausson par les propriétaires en 1897	1897	12835_historique_1	Rue Pierre Chausson	rue				transition	attribute	name		rue Pierre Chausson
416	rue pierre chausson || Historique || C'était en 1896 la rue Prosper Chausson et antérieurement le passage Chausson	1896	12835_historique_2	Rue Pierre Chausson	rue				transition	attribute	name	rue Prosper Chausson	rue Pierre Chausson
417	rue pierre chausson || Ouverture || Ouverte en 1835	1835	12835_ouverture	Rue Pierre Chausson	rue				transition	attribute	geometry
418	rue pierre reverdy || Dénomination || Arrêté municipal du 9 décembre 1985	1985-12-09	12871_dénomination	Rue Pierre Reverdy	rue				transition	attribute	name		rue Pierre Reverdy
419	rue pierre reverdy || Historique || Elle avait été provisoirement dénommée BV/19		12871_historique	Rue Pierre Reverdy	rue				transition	attribute	name	voie BV/19	rue Pierre Reverdy
420	avenue pierre ier de serbie || Dénomination || Délibération municipale du 14 juillet 1918	1918-07-14	12872_dénomination	Avenue Pierre Ier de Serbie	avenue				transition	attribute	name		avenue Pierre Ier de Serbie
422	avenue pierre ier de serbie || Numérotation || Arrêté du 29 septembre 1881	1881-09-29	12872_numérotation	Avenue Pierre Ier de Serbie	avenue				numerotation	landmark
423	place pigalle || Dénomination || Arrêté du 30 décembre 1864	1864-12-30	12880_dénomination	Place Pigalle	place				transition	attribute	name		place Pigalle
424	place pigalle || Historique || Précédemment place de la Barrière Montmartre		12880_historique	Place Pigalle	place				transition	attribute	name	place de la Barrière Montmartre	place Pigalle
426	rue de la pointe d'ivry || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	12917_classement_1	Rue de la Pointe d'Ivry	rue				classement	landmark
427	rue de la pointe d'ivry || Classement || Précédemment voie de la commune d'Ivry		12917_classement_2	Rue de la Pointe d'Ivry	rue	Ivry	municipality	within	classement	landmark
428	rue de la pointe d'ivry || Numérotation || Arrêté du 28 août 1876	1876-08-28	12917_numérotation	Rue de la Pointe d'Ivry	rue				numerotation	landmark
429	rue de poitou || Dénomination || Arrêté du 1er février 1877, réunissant la rue de l'Oseille à la rue de Poitou	1877-02	12928_dénomination	Rue de l'Oseille	rue				disappearance	landmark
429	rue de poitou || Dénomination || Arrêté du 1er février 1877, réunissant la rue de l'Oseille à la rue de Poitou	1877-02	12928_dénomination	Rue de Poitou	rue				transition	attribute	geometry
431	rue de poitou || Numérotation || Arrêté du 19 mai 1877, entre la rue Vieille du Temple et la rue Charlot	1877-05-19	12928_numérotation	Rue de Poitou	rue				numerotation	landmark
432	rue de poitou || Ouverture || Ouverte vers 1626	1626	12928_ouverture	Rue de Poitou	rue				transition	attribute	geometry
433	avenue de la porte d'aubervilliers || Classement || Arrêté du 11 octobre 1932, depuis les boulevards Ney et Macdonald jusqu'à la rue Charles Hermite (A)	1932-10-11	12962_classement	Avenue de la Porte d'Aubervilliers	avenue				classement	landmark
434	avenue de la porte d'aubervilliers || Dénomination || Arrêté du 17 janvier 1931	1931-01-17	12962_dénomination	Avenue de la Porte d'Aubervilliers	avenue				transition	attribute	name		avenue de la Porte d'Aubervilliers
436	avenue de la porte d'aubervilliers || Historique || Le surplus, précédemment partie de l'avenue Victor Hugo (RD n° 13), était situé autrefois sur le territoire d'Aubervilliers annexé à Paris par décret du 27 juillet 1930	1930-07-27	12962_historique_2	Avenue Victor Hugo	avenue	Aubervilliers	municipality	within	disapperance	landmark
436	avenue de la porte d'aubervilliers || Historique || Le surplus, précédemment partie de l'avenue Victor Hugo (RD n° 13), était situé autrefois sur le territoire d'Aubervilliers annexé à Paris par décret du 27 juillet 1930	1930-07-27	12962_historique_2	Avenue de la Porte d'Aubervilliers	avenue				transition	attribute	geometry
437	avenue de la porte d'aubervilliers || Numérotation || Arrêté du 30 août 1934	1934-08-30	12962_numérotation	Avenue de la Porte d'Aubervilliers	avenue				numerotation	landmark
438	place de la porte de versailles || Classement || Arrêté du 11 octobre 1932	1932-10-11	13008_classement	Place de la Porte de Versailles	place				classement	landmark
439	place de la porte de versailles || Dénomination || Arrêté du 11 avril 1932	1932-04-11	13008_dénomination	Place de la Porte de Versailles	place				transition	attribute	name		place de la Porte de Versailles
441	boulevard de port-royal || Dénomination || Arrêté du 19 août 1864	1864-08-19	13016_dénomination	Boulevard de Port-Royal	boulevard				transition	attribute	name		boulevard de Port-Royal
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Impasse Hautefort	impasse				disapperance	landmark
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Rue Cochin	rue				disapperance	landmark
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Rue des Bourguignons	rue				disapperance	landmark
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Rue des Capucins	rue				disapperance	landmark
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Rue des Cendriers	rue				disapperance	landmark
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Rue des Charbonniers Saint-Marcel	rue				disapperance	landmark
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Rue des Trois Couronnes Saint-Marcel	rue				disapperance	landmark
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Rue du Champs des Capucins	rue				disapperance	landmark
442	boulevard de port-royal || Historique || Les rues des Trois Couronnes Saint-Marcel, Cochin, des Bourguignons, des Capucins, de Port-Royal, des Charbonniers Saint-Marcel, des Cendriers, du Champs des Capucins, l'impasse Hautefort et le Champ des Capucins ont été absorbés ou supprimés par ce boulevard		13016_historique	Rue Port-Royal	rue				disapperance	landmark
443	boulevard de port-royal || Numérotation || Arrêté du 26 août 1873	1873-08-26	13016_numérotation	Boulevard de Port-Royal	boulevard				numerotation	landmark
444	boulevard de port-royal || Ouverture || Décret du 17 octobre 1857 (UP), le percement n'a eu lieu qu'en 1866	1857-10-17	13016_ouverture	Boulevard de Port-Royal	boulevard				transition	attribute	geometry
445	passage du poteau || Dénomination || Arrêté du 10 novembre 1873	1873-11-10	13023_dénomination	Passage du Poteau	passage				transition	attribute	name		passage du Poteau
446	passage du poteau || Historique || Précédemment passage Lécuyer		13023_historique_1	Passage du Poteau	passage				transition	attribute	name	passage Lécuyer	passage du Poteau
447	passage du poteau || Historique || Cette voie a été élargie lors des opérations de la ZAC \"Moskova\"		13023_historique_2	Passage du Poteau	passage				transition	attribute	geometry
448	impasse poule || Classement || Arrêté municipal du 19 novembre 1993	1993-11-19	13031_classement	Impasse Poule	impasse				classement	landmark
449	rue de la présentation || Classement || Arrêté du 9 mai 1931	1931-05-09	13047_classement	Rue de la Présentation	rue				classement	landmark
450	rue de la présentation || Dénomination || Arrêté du 1er février 1877	1877-02	13047_dénomination	Rue de la Présentation	rue				transition	attribute	name		rue de la Présentation
451	rue de la présentation || Historique || Ancienne rue Sainte-Marie du Temple		13047_historique	Rue de la Présentation	rue				transition	attribute	name	rue Sainte-Marie du Temple
452	place des pyramides || Dénomination || Arrêté du 5 janvier 1932	1932-01-05	13093_dénomination	Place des Pyramides	place				transition	attribute	name		place des Pyramides
453	place des pyramides || Historique || Précédemment place de Rivoli		13093_historique	Place des Pyramides	place				transition	attribute	name	place de Rivoli	place des Pyramides
454	place des pyramides || Ouverture || Arrêtés des consuls du 17 vendémiaire an X		13093_ouverture	Place des Pyramides	place				transition	attribute	geometry
455	rue rampal || Classement || Décret du 14 mars 1896, entre les rues du Général Lasalle et Rébeval (B)	1896-03-14	13126_classement	Rue Rampal	rue				classement	landmark
456	rue rampal || Dénomination || Arrêté du 28 décembre 1894, partie B	1894-12-28	13126_dénomination	Rue Rampal	rue				transition	attribute	name		rue Rampal
457	rue rampal || Historique || La partie B a été ouverte sur l'emplacement d'une usine à gaz		13126_historique	Rue Rampal	rue				transition	attribute	geometry
458	rue rampal || Numérotation || Arrêté du 25 mai 1897, partie B	1897-05-25	13126_numérotation	Rue Rampal	rue				numerotation	landmark
460	rue rampal || Ouverture || Partie B ouverte en 1890	1890	13126_ouverture_2	Rue Rampal	rue				transition	attribute	geometry
461	rue rataud || Classement || Arrêté du 9 juin 1931	1931-06-09	13145_classement	Rue Rataud	rue				classement	landmark
462	rue rataud || Dénomination || Arrêté du 1er février 1877	1877-02	13145_dénomination	Rue Rataud	rue				transition	attribute	name		rue Rataud
463	rue rataud || Historique || Un tronçon de 131 m, à partir de la rue Lhomond, était précédemment dénommé impasse ou cul-de-sac des Vignes		13145_historique_1	Rue Rataud	rue				transition	attribute	geometry
466	rue rataud || Ouverture || A partir d'un point situé 131 m au-delà de la rue Lhomond, ouvert en 1862	1862	13145_ouverture	Rue Rataud	rue				transition	attribute	geometry
467	rue raymond radiguet || Dénomination || Arrêté municipal du 21 décembre 1988	1988-12-21	13158_dénomination	Rue Raymond Radiguet	rue				transition	attribute	name		rue Raymond Radiguet
468	rue raymond radiguet || Historique || Elle avait été provisoirement dénommée CB/19		13158_historique	Rue Raymond Radiguet	rue				transition	attribute	name	voie CB/19	rue Raymond Radiguet
469	rue regnault || Dénomination || Décret du 10 août 1868, depuis l'origine de la voie jusqu'à la rue de Patay (M)	1868-08-10	13170_dénomination_1	Rue Regnault	rue				transition	attribute	name		rue Regnault
470	rue regnault || Dénomination || Arrêté du 1er février 1877, réunissant le chemin latéral au chemin de fer de Ceinture, entre les rues de Patay et du Château des Rentiers, à la rue Regnault	1877-02	13170_dénomination_2	Chemin latéral au chemin de fer de Ceinture	chemin				disappearance	landmark
470	rue regnault || Dénomination || Arrêté du 1er février 1877, réunissant le chemin latéral au chemin de fer de Ceinture, entre les rues de Patay et du Château des Rentiers, à la rue Regnault	1877-02	13170_dénomination_2	Rue de Patay	rue
470	rue regnault || Dénomination || Arrêté du 1er février 1877, réunissant le chemin latéral au chemin de fer de Ceinture, entre les rues de Patay et du Château des Rentiers, à la rue Regnault	1877-02	13170_dénomination_2	Rue du Château des Rentiers	rue
